age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,satisfaction_group,selection_criteria_list,cca_list
18 - 24,Female,Domestic,SUSS,3,hands-on,Large,Business,0.0,Product Manager,5,6,9,1,4,6,8,7,1,0,Self-funded,3.0,Commute,Ambivert,0,15,Academic,2,4,Medium,1,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,auditory,Large,Engineering,0.0,Business Analyst,4,9,2,7,10,2,2,6,5,0,Self-funded,4.5,Commute,Introverted,1,0,Arts,2,5,High,0,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Large,Computing,1.0,Product Manager,2,3,7,6,2,3,1,7,6,0,Loan,4.0,Commute,Extroverted,0,17,Leadership,2,4,Medium,0,3.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Medium,Arts & Social Sciences,0.5,Software Engineer,6,8,5,7,1,7,9,8,9,1,Loan,7.5,Commute,Extroverted,1,5,Sports,2,3,Medium,0,8.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,auditory,Large,Science,0.0,Researcher,6,8,2,7,10,10,7,10,9,0,Family,7.5,Commute,Extroverted,1,5,Leadership,2,2,Low,0,9.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,reading/writing,Medium,Law,0.0,Software Engineer,3,9,5,2,10,7,7,9,2,1,Scholarship,2.5,Commute,Ambivert,1,14,Leadership,2,3,Medium,0,7.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,visual,Medium,Engineering,0.5,Data Scientist,2,3,5,1,2,4,6,10,10,1,Scholarship,6.0,Commute,Ambivert,0,18,Academic,2,5,High,1,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,visual,Medium,Engineering,0.5,Software Engineer,8,4,5,1,6,7,8,9,4,0,Self-funded,6.0,Commute,Ambivert,0,7,Arts,2,4,Medium,0,8.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Male,Domestic,SUSS,3,visual,Large,Computing,0.5,Entrepreneur,6,1,6,10,8,1,10,6,4,1,Scholarship,5.0,Commute,Extroverted,0,10,Arts,2,3,Medium,1,5.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,reading/writing,Small,Science,0.5,Data Scientist,7,6,4,8,9,3,7,3,10,1,Loan,8.5,On campus,Introverted,1,20,Academic,2,1,Low,0,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Large,Business,0.0,Product Manager,1,6,1,10,3,5,3,8,2,1,Loan,1.5,Commute,Ambivert,0,14,Academic,2,3,Medium,0,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Small,Engineering,0.5,Product Manager,9,9,5,1,6,2,6,4,8,0,Scholarship,8.5,Commute,Ambivert,0,13,Sports,2,1,Low,1,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Computing,1.0,Entrepreneur,1,1,4,4,4,5,10,4,6,1,Loan,3.5,On campus,Introverted,1,4,Leadership,2,5,High,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,visual,Small,Law,0.5,Consultant,9,9,8,8,3,4,4,8,6,1,Scholarship,7.5,Commute,Ambivert,0,16,Academic,2,2,Low,0,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Business,0.0,Data Scientist,8,4,2,3,6,6,7,3,6,0,Scholarship,7.0,Commute,Ambivert,1,17,Community Service,2,1,Low,0,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Large,Engineering,1.0,Business Analyst,4,9,8,10,10,10,6,9,7,0,Loan,5.5,Commute,Ambivert,0,17,Academic,2,3,Medium,0,8.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,International,SUSS,5,hands-on,Medium,Engineering,0.5,Entrepreneur,7,10,7,5,9,3,7,7,4,1,Loan,5.5,On campus,Extroverted,1,0,Sports,2,4,Medium,1,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Large,Science,0.0,Other,2,5,8,4,3,1,4,6,8,1,Self-funded,5.0,Commute,Ambivert,1,15,Academic,2,2,Low,1,3.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Medium,Business,1.0,Researcher,2,2,5,8,9,9,9,4,2,0,Scholarship,2.0,On campus,Extroverted,1,18,Leadership,2,4,Medium,1,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Business,0.5,Business Analyst,4,9,5,3,2,8,9,1,2,0,Self-funded,3.0,Commute,Ambivert,0,16,Arts,2,5,High,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,4,visual,Medium,Science,0.0,Consultant,3,8,3,7,6,9,7,10,9,0,Family,6.0,On campus,Introverted,0,13,Leadership,2,4,Medium,0,8.666666666666666,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Medium,Arts & Social Sciences,0.0,Consultant,7,10,3,8,8,2,9,8,2,0,Scholarship,4.5,Commute,Extroverted,0,13,Leadership,2,3,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,auditory,Large,Law,0.0,Product Manager,8,6,1,4,4,10,3,9,2,1,Loan,5.0,On campus,Extroverted,1,12,Community Service,2,1,Low,0,7.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,hands-on,Small,Business,0.0,Data Scientist,6,1,1,10,4,1,2,7,5,0,Loan,5.5,Commute,Introverted,0,9,Academic,2,1,Low,1,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Large,Engineering,1.0,Data Scientist,5,2,1,8,3,3,6,3,6,0,Family,5.5,On campus,Introverted,1,15,Arts,2,5,High,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,auditory,Medium,Arts & Social Sciences,0.0,Business Analyst,6,5,3,10,1,3,2,3,4,0,Self-funded,5.0,On campus,Introverted,0,2,Academic,2,2,Low,1,2.6666666666666665,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,5,hands-on,Small,Medicine,0.5,Software Engineer,6,3,4,8,4,3,6,6,5,1,Loan,5.5,Commute,Extroverted,1,1,Leadership,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,4,auditory,Small,Computing,0.0,Data Scientist,2,6,2,10,4,5,3,7,10,1,Family,6.0,On campus,Introverted,0,6,Arts,2,3,Medium,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Large,Engineering,1.0,Entrepreneur,4,2,6,7,3,4,5,6,6,0,Scholarship,5.0,Commute,Extroverted,0,9,Leadership,2,5,High,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,visual,Medium,Engineering,1.0,Software Engineer,4,4,4,8,4,5,2,5,7,1,Loan,5.5,Commute,Extroverted,0,9,Sports,2,5,High,0,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,visual,Medium,Engineering,0.5,Product Manager,9,5,1,5,1,9,10,10,9,1,Self-funded,9.0,Commute,Extroverted,1,19,Sports,2,4,Medium,0,9.666666666666666,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,reading/writing,Small,Business,1.0,Software Engineer,10,1,2,3,1,3,9,1,1,1,Family,5.5,On campus,Extroverted,1,1,Sports,2,1,Low,1,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Small,Business,0.5,Researcher,7,7,6,10,5,1,10,3,6,0,Scholarship,6.5,On campus,Ambivert,1,9,Leadership,2,2,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,4,hands-on,Small,Computing,0.5,Data Scientist,10,8,7,9,7,4,4,6,7,0,Self-funded,8.5,Commute,Ambivert,1,9,Academic,2,5,High,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Medium,Computing,0.0,Researcher,10,1,6,10,2,8,4,4,2,1,Self-funded,6.0,Commute,Extroverted,0,17,Academic,2,2,Low,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,auditory,Medium,Science,0.5,Product Manager,10,9,3,6,3,4,1,2,9,0,Loan,9.5,Commute,Introverted,1,17,Academic,2,2,Low,0,2.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Medium,Design,1.0,Business Analyst,7,8,1,6,7,5,2,9,5,1,Loan,6.0,On campus,Extroverted,1,2,Sports,2,2,Low,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,auditory,Medium,Arts & Social Sciences,1.0,Data Scientist,5,6,5,5,10,8,6,6,8,1,Loan,6.5,On campus,Introverted,0,4,Academic,2,3,Medium,0,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Medicine,0.5,Business Analyst,3,5,3,2,1,4,2,3,6,0,Loan,4.5,Commute,Ambivert,1,6,Sports,2,4,Medium,1,3.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
